rank,who,times,rating
452,walnutwaldo20,28,2294
454,temich,70,2292
454,000000,3,2292
454,vosptu,5,2292
457,kobae964,46,2291
458,423555290,28,2290
458,grumpy_gordon,88,2290
458,aufeas,16,2290
461,DmitryBelikov,81,2287
461,Random_chen,15,2287
463,dragoon,46,2286
463,JiK,51,2286
465,afaji321,36,2285
465,SoMuchDrama,76,2285
465,gvaibhav21,72,2285
468,erfanesm,32,2284
468,superguymj,15,2284
470,Svyat,148,2283
470,Hec,44,2283
470,Kattana,29,2283
473,woqja125,61,2282
473,TsReaper,14,2282
475,pperm,87,2281
476,dimas.kovas,36,2280
476,Tachibana_Marika,42,2280
476,cuizhuyefei,27,2280
476,Shayea,6,2280
480,nikgaevoy,14,2279
480,miaom,9,2279
482,schezo,64,2278
482,Kira96,60,2278
482,camypaper,55,2278
482,rui-de,92,2278
486,netman,160,2277
486,Navick,38,2277
488,adamant,196,2274
488,muratt,72,2274
490,witua,144,2273
490,Spylft,10,2273
490,VCVCVCFop_zz,17,2273
493,monsoon,15,2272
493,scorpion,71,2272
493,ioym,7,2272
496,nwi,202,2271
496,negativebplusorminus,34,2271
496,zxozxo4,31,2271
496,MohamedZain,81,2271
496,danya090699,43,2271
501,chokudai,33,2268
502,ushakov.fedor,79,2267
502,Worldwide_D,10,2267
502,hitman623,82,2267
502,Blue233333,20,2267
502,TroXFey,23,2267
507,maximumSHOT,108,2266
508,gamegame,27,2265
508,AryanSM,65,2265
508,Holidin,36,2265
511,Daniar,123,2264
511,Svlad_Cjelli,35,2264
513,Ajosteen,66,2263
513,renjingyi,8,2263
515,KhaustovPavel,98,2262
515,Michael,34,2262
515,Rubanenko,170,2262
515,Tima,141,2262
515,zhangzy,10,2262
520,super_azbuka,54,2260
520,will7101,18,2260
522,Mohammad_kilani,102,2259
523,niike0goood,75,2258
523,InvUsr,10,2258
523,fzzzq2002,3,2258
523,FeatherFalling,5,2258
527,ericxu0,61,2257
527,khokho,112,2257
527,neither,33,2257
527,UtahaS3npai,6,2257
527,ForestBaskett,7,2257
532,IMAN_GH,162,2256
532,hohomu,67,2256
532,minh141198,81,2256
535,fastcoder,22,2255
535,mango_lassi,37,2255
535,kopricky,29,2255
538,ania,44,2254
538,zhongzihao,55,2254
540,LiChenKoh,78,2253
540,SmsS4,69,2253
540,Kotori_Is_My_Wife,3,2253
543,klamathix,61,2252
543,whfym,20,2252
543,Milhous,4,2252
546,wasyl,19,2251
547,jiangshibiao,19,2250
547,relativity,20,2250
547,djp_cqq,2,2250
550,malcolm,136,2249
550,PoDuReM,37,2249
550,Antimony,14,2249
550,DraZxlNDdt,22,2249
550,kaldiuo,15,2249
555,Rafiki53,81,2248
555,cheater2k,33,2248
555,ez_zkj,13,2248
555,sdnr1,54,2248
555,mtsd,28,2248
560,afedor,46,2247
561,TinkerKing,11,2245
561,gcz,11,2245
563,Filyan,112,2244
563,programmer228,53,2244
565,ktuan,29,2243
565,spentplaying,48,2243
565,lijian666,3,2243
568,EZ_fwtt08,40,2242
568,progmatic,23,2242
568,Rudy420,80,2242
568,lk_cnyali,11,2242
568,Diuven,19,2242
573,gnomina007,30,2241
574,swenyoo,11,2240
574,laurageorgescu,73,2240
576,Yao-ge,9,2239
576,cxt,9,2239
576,szakubki,6,2239
579,Melnyk,100,2238
579,NaughtyMorzh,57,2238
